"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","AUS","9503","Australia","AFG","Afghanistan",2005,"Import",5,0.267
"H0","AUS","9503","Australia","AFG","Afghanistan",2013,"Import",5,1.93
"H0","AUS","9503","Australia","AFG","Afghanistan",2018,"Import",5,2.943
"H0","AUS","9503","Australia","AFG","Afghanistan",2020,"Import",5,23.593
"H0","AUS","9503","Australia","AFG","Afghanistan",2025,"Import",5,1.63
"H0","AUS","9503","Australia","AIA","Anguila",2014,"Import",5,5.054
"H0","AUS","9503","Australia","ALB","Albania",2009,"Import",5,1.296
"H0","AUS","9503","Australia","ALB","Albania",2016,"Import",5,1.029
"H0","AUS","9503","Australia","ARE","United Arab Emirates",1999,"Import",5,0.664
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2002,"Import",5,1.07
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2003,"Import",5,0.879
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2004,"Import",5,6.876
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2005,"Import",5,3.906
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2006,"Import",5,148.234
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2007,"Import",5,94.681
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2008,"Import",5,8.989
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2009,"Import",5,5.395
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2010,"Import",5,1.459
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2011,"Import",5,11.715
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2012,"Import",5,26.798
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2013,"Import",5,51.844
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2014,"Import",5,7.347
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2015,"Import",5,10.124
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2016,"Import",5,20.91
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2017,"Import",5,54.78
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2018,"Import",5,60.582
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2019,"Import",5,19.718
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2020,"Import",5,7.443
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2021,"Import",5,7.561
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2022,"Import",5,5.557
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2023,"Import",5,3.637
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2024,"Import",5,46.44
"H0","AUS","9503","Australia","ARE","United Arab Emirates",2025,"Import",5,0.918
"H0","AUS","9503","Australia","ARG","Argentina",2001,"Import",5,0.685
"H0","AUS","9503","Australia","ARG","Argentina",2003,"Import",5,13.407
"H0","AUS","9503","Australia","ARG","Argentina",2004,"Import",5,12.818
"H0","AUS","9503","Australia","ARG","Argentina",2005,"Import",5,44.617
"H0","AUS","9503","Australia","ARG","Argentina",2006,"Import",5,3.588
"H0","AUS","9503","Australia","ARG","Argentina",2007,"Import",5,9.913
"H0","AUS","9503","Australia","ARG","Argentina",2008,"Import",5,11.373
"H0","AUS","9503","Australia","ARG","Argentina",2009,"Import",5,5.49
"H0","AUS","9503","Australia","ARG","Argentina",2010,"Import",5,25.781
"H0","AUS","9503","Australia","ARG","Argentina",2011,"Import",5,39.246
"H0","AUS","9503","Australia","ARG","Argentina",2014,"Import",5,17.758
"H0","AUS","9503","Australia","ARG","Argentina",2015,"Import",5,1.707
"H0","AUS","9503","Australia","ARG","Argentina",2016,"Import",5,2.725
"H0","AUS","9503","Australia","ARG","Argentina",2017,"Import",5,21.179
"H0","AUS","9503","Australia","ARG","Argentina",2018,"Import",5,1.381
"H0","AUS","9503","Australia","ARG","Argentina",2019,"Import",5,5.515
"H0","AUS","9503","Australia","ARG","Argentina",2023,"Import",5,0.85
"H0","AUS","9503","Australia","ARG","Argentina",2025,"Import",5,1.663
"H0","AUS","9503","Australia","ASM","American Samoa",2007,"Import",5,4.226
"H0","AUS","9503","Australia","ASM","American Samoa",2008,"Import",5,1.621
"H0","AUS","9503","Australia","ATG","Antigua and Barbuda",2007,"Import",5,2.719
"H0","AUS","9503","Australia","AUS","Australia",2000,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2001,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2002,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2003,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2004,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2005,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2006,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2007,"Import",5,0
"H0","AUS","9503","Australia","AUS","Australia",2008,"Import",5,0
