code,iso3,id,name,lon,lat
AFG,AFG,4,Afghanistan,66.087,33.856
AGO,AGO,24,Angola,17.503,-12.291
ALB,ALB,8,Albania,20.032,41.142
ARE,ARE,784,United Arab Emirates,54.206,23.868
ARG,ARG,32,Argentina,-65.149,-35.22
ARM,ARM,51,Armenia,45.0,40.217
ATA,ATA,10,Antarctica,30.876,-77.259
ATF,ATF,260,French Southern Territories,69.531,-49.306
AUS,AUS,36,Australia,134.376,-25.561
AUT,AUT,40,Austria,14.075,47.614
AZE,AZE,31,Azerbaijan,47.68,40.281
BDI,BDI,108,Burundi,29.914,-3.378
BEL,BEL,56,Belgium,4.582,50.652
BEN,BEN,204,Benin,2.337,9.649
BFA,BFA,854,Burkina Faso,-1.776,12.312
BGD,BGD,50,Bangladesh,90.267,23.84
BGR,BGR,100,Bulgaria,25.195,42.753
BHR,BHR,48,Bahrain,50.55,26.07
BHS,BHS,44,Bahamas,-77.915,24.507
BIH,BIH,70,Bosnia and Herzegovina,17.816,44.181
BLR,BLR,112,Belarus,27.981,53.506
BLZ,BLZ,84,Belize,-88.703,17.197
BOL,BOL,68,Bolivia,-64.641,-16.729
BRA,BRA,76,Brazil,-53.054,-10.807
BRN,BRN,96,Brunei Darussalam,114.915,4.69
BTN,BTN,64,Bhutan,90.473,27.428
BWA,BWA,72,Botswana,23.773,-22.1
CAF,CAF,140,Central African Republic,20.374,6.543
CAN,CAN,124,Canada,-101.57,57.749
CHE,CHE,756,Switzerland,8.118,46.792
CHL,CHL,152,Chile,-71.671,-37.344
CHN,CHN,156,China,103.865,36.609
CIV,CIV,384,Côte d'Ivoire,-5.612,7.554
CMR,CMR,120,Cameroon,12.612,5.663
COD,COD,180,"Congo, The Democratic Republic of the",23.583,-2.85
COG,COG,178,Congo,15.134,-0.838
COL,COL,170,Colombia,-73.078,3.927
CRI,CRI,188,Costa Rica,-84.176,9.966
CUB,CUB,192,Cuba,-78.961,21.632
CYP,CYP,196,Cyprus,33.04,34.907
CZE,CZE,203,Czechia,15.334,49.775
DEU,DEU,276,Germany,10.288,51.134
DJI,DJI,262,Djibouti,42.498,11.773
DNK,DNK,208,Denmark,9.311,56.22
DOM,DOM,214,Dominican Republic,-70.462,18.885
DZA,DZA,12,Algeria,2.598,28.185
ECU,ECU,218,Ecuador,-78.384,-1.455
EGY,EGY,818,Egypt,29.845,26.507
ERI,ERI,232,Eritrea,38.678,15.427
ESH,ESH,732,Western Sahara,-12.138,24.291
ESP,ESP,724,Spain,-3.617,40.349
EST,EST,233,Estonia,25.825,58.644
ETH,ETH,231,Ethiopia,39.551,8.654
FIN,FIN,246,Finland,26.211,64.504
FJI,FJI,242,Fiji,177.997,-17.831
FLK,FLK,238,Falkland Islands (Malvinas),-59.42,-51.713
FRA,FRA,250,France,2.339,46.607
GAB,GAB,266,Gabon,11.687,-0.647
GBR,GBR,826,United Kingdom,-2.658,53.884
GEO,GEO,268,Georgia,43.482,42.162
GHA,GHA,288,Ghana,-1.237,7.929
GIN,GIN,324,Guinea,-11.061,10.448
GMB,GMB,270,Gambia,-15.432,13.475
GNB,GNB,624,Guinea-Bissau,-15.111,12.023
GNQ,GNQ,226,Equatorial Guinea,10.366,1.646
GRC,GRC,300,Greece,22.564,39.342
GRL,GRL,304,Greenland,-41.5,74.77
GTM,GTM,320,Guatemala,-90.369,15.7
GUY,GUY,328,Guyana,-58.972,4.79
HKG,HKG,344,Hong Kong,114.17,22.32
HND,HND,340,Honduras,-86.59,14.823
HRV,HRV,191,Croatia,16.567,45.016
HTI,HTI,332,Haiti,-72.657,18.9
HUN,HUN,348,Hungary,19.358,47.2
IDN,IDN,360,Indonesia,114.022,-0.255
IND,IND,356,India,79.593,22.925
IRL,IRL,372,Ireland,-8.01,53.181
IRN,IRN,364,Iran,54.286,32.519
IRQ,IRQ,368,Iraq,43.757,33.037
ISL,ISL,352,Iceland,-18.761,65.074
ISR,ISR,376,Israel,35.004,31.485
ITA,ITA,380,Italy,12.219,43.472
JAM,JAM,388,Jamaica,-77.325,18.138
JOR,JOR,400,Jordan,36.78,31.246
JPN,JPN,392,Japan,136.882,36.019
KAZ,KAZ,398,Kazakhstan,67.285,48.192
KEN,KEN,404,Kenya,37.791,0.596
KGZ,KGZ,417,Kyrgyzstan,74.621,41.507
KHM,KHM,116,Cambodia,104.876,12.685
KOR,KOR,410,South Korea,127.821,36.428
KWT,KWT,414,Kuwait,47.6,29.308
LAO,LAO,418,Laos,103.75,18.445
LBN,LBN,422,Lebanon,35.871,33.912
LBR,LBR,430,Liberia,-9.411,6.431
LBY,LBY,434,Libya,17.974,26.997
LKA,LKA,144,Sri Lanka,80.667,7.701
LSO,LSO,426,Lesotho,28.17,-29.625
LTU,LTU,440,Lithuania,23.88,55.284
LUX,LUX,442,Luxembourg,5.966,49.765
LVA,LVA,428,Latvia,24.832,56.807
MAC,MAC,446,Macao,113.54,22.19
MAR,MAR,504,Morocco,-8.421,29.886
MDA,MDA,498,Moldova,28.41,47.203
MDG,MDG,450,Madagascar,46.691,-19.356
MEX,MEX,484,Mexico,-102.576,23.935
MKD,MKD,807,North Macedonia,21.698,41.606
MLI,MLI,466,Mali,-3.543,17.268
MLT,MLT,470,Malta,14.45,35.9
MMR,MMR,104,Myanmar,96.506,21.017
MNG,MNG,496,Mongolia,102.946,46.824
MNT,MNE,499,Montenegro,19.286,42.789
MOZ,MOZ,508,Mozambique,35.472,-17.231
MRT,MRT,478,Mauritania,-10.326,20.209
MUS,MUS,480,Mauritius,57.55,-20.35
MWI,MWI,454,Malawi,34.193,-13.172
MYS,MYS,458,Malaysia,114.675,3.548
NAM,NAM,516,Namibia,17.156,-22.1
NCL,NCL,540,New Caledonia,165.534,-21.261
NER,NER,562,Niger,9.325,17.345
NGA,NGA,566,Nigeria,7.995,9.548
NIC,NIC,558,Nicaragua,-85.02,12.849
NLD,NLD,528,Netherlands,5.512,52.298
NOR,NOR,578,Norway,14.245,64.537
NPL,NPL,524,Nepal,84.013,28.239
NZL,NZL,554,New Zealand,170.513,-43.986
OAS,TWN,158,Taiwan,120.96,23.7
OMN,OMN,512,Oman,56.098,20.581
PAK,PAK,586,Pakistan,69.414,29.974
PAN,PAN,591,Panama,-80.11,8.53
PER,PER,604,Peru,-74.392,-9.192
PHL,PHL,608,Philippines,121.544,15.751
PNG,PNG,598,Papua New Guinea,144.332,-6.646
POL,POL,616,Poland,19.311,52.148
PRI,PRI,630,Puerto Rico,-66.479,18.237
PRK,PRK,408,North Korea,127.165,40.143
PRT,PRT,620,Portugal,-8.056,39.634
PRY,PRY,600,Paraguay,-58.387,-23.248
PSE,PSE,275,"Palestine, State of",35.273,31.94
QAT,QAT,634,Qatar,51.184,25.322
ROM,ROU,642,Romania,24.943,45.857
RUS,RUS,643,Russian Federation,99.216,61.693
RWA,RWA,646,Rwanda,29.919,-2.014
SAU,SAU,682,Saudi Arabia,44.516,24.123
SDN,SDN,729,Sudan,29.863,15.991
SEN,SEN,686,Senegal,-14.51,14.354
SER,SRB,688,Serbia,20.819,44.233
SGP,SGP,702,Singapore,103.82,1.35
SLB,SLB,90,Solomon Islands,159.104,-7.902
SLE,SLE,694,Sierra Leone,-11.795,8.531
SLV,SLV,222,El Salvador,-88.873,13.726
SOM,SOM,706,Somalia,45.727,4.752
SSD,SSD,728,South Sudan,30.199,7.293
SUR,SUR,740,Suriname,-55.911,4.12
SVK,SVK,703,Slovakia,19.508,48.727
SVN,SVN,705,Slovenia,14.938,46.125
SWE,SWE,752,Sweden,16.596,62.812
SWZ,SWZ,748,Eswatini,31.395,-26.49
SYR,SYR,760,Syria,38.545,35.013
TCD,TCD,148,Chad,18.582,15.329
TGO,TGO,768,Togo,0.997,8.439
THA,THA,764,Thailand,101.006,15.017
TJK,TJK,762,Tajikistan,71.034,38.583
TKM,TKM,795,Turkmenistan,59.275,39.091
TLS,TLS,626,Timor-Leste,125.967,-8.767
TTO,TTO,780,Trinidad and Tobago,-61.331,10.428
TUN,TUN,788,Tunisia,9.535,34.173
TUR,TUR,792,Türkiye,35.392,38.991
TUV,TUV,798,Tuvalu,179.2,-8.52
TWN,TWN,158,Taiwan,120.975,23.742
