number,name,year,theme,themeGroup,subtheme,pieces,minifigs,rating,agerange_min,US_retailPrice
1,Small house set,1970,Minitalia,Vintage,,67,,0.0,,
2,Medium house set,1970,Minitalia,Vintage,,109,,0.0,,
3,Medium house set,1970,Minitalia,Vintage,,158,,0.0,,
4,Large house set,1970,Minitalia,Vintage,,233,,0.0,,
4,Mini House and Vehicles,1970,Samsonite,Vintage,Model Maker,,,0.0,,
078,Roadway Base Plate 50X50,1970,Samsonite,Vintage,Supplemental,1,,0.0,,
104,4.5V Replacement Motor,1970,Trains,Modern day,Supplemental / 4.5V,1,,0.0,,
126,Steam Locomotive (Push),1970,Trains,Modern day,4.5v,60,,0.0,,
157,4 Car Auto Transport,1970,Samsonite,Vintage,Model Maker,65,,0.0,,
242,Big Model Book,1970,Books,Miscellaneous,LEGO,,,0.0,,
271,Mini-House with Vehicles,1970,Samsonite,Vintage,Model Maker,89,,0.0,,
311,Remote Control Car Set,1970,Samsonite,Vintage,Model Maker,271,,0.0,,
312,Remote Control Supplement,1970,Samsonite,Vintage,Model Maker,1,,0.0,,
338,Ambulance,1970,LEGOLAND,Vintage,Vehicle,74,,0.0,,
345,House with Mini-Wheel Car,1970,Samsonite,Vintage,Model Maker,136,,0.0,,
346,Jumbo Jet,1970,Samsonite,Vintage,Model Maker,121,,0.0,,
347,Fire Station,1970,LEGOLAND,Vintage,Building,320,,0.0,,
347,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Vintage,Model Maker,216,,0.0,,
348,Mini-Wheel Car and Truck Set,1970,Samsonite,Vintage,Model Maker,211,,0.0,,
367,Mini Airport and Vehicle,1970,Samsonite,Vintage,Model Maker,233,,0.0,,
512,Building Set ,1970,Duplo,Pre-school,Basic Set,20,,0.0,,
513,Building Set ,1970,Duplo,Pre-school,Basic Set,29,,0.0,,
600,Ambulance,1970,LEGOLAND,Vintage,Vehicle,17,,0.0,,
601,Tow Truck,1970,LEGOLAND,Vintage,Vehicle,15,,0.0,,
602,Van with opening doors,1970,LEGOLAND,Vintage,Vehicle,24,,0.0,,
603,Veteran Car,1970,LEGOLAND,Vintage,Vehicle,32,,0.0,,
620,Fire engine with opening doors and ladder,1970,LEGOLAND,Vintage,Vehicle,40,,0.0,,
621,Articulated petrol tanker,1970,LEGOLAND,Vintage,Vehicle,43,,0.0,,
622,Parcels trolley,1970,LEGOLAND,Vintage,Vehicle,33,,0.0,,
623,Car and caravan,1970,LEGOLAND,Vintage,Vehicle,32,,0.0,,
708,2m Extension Cord for Points,1970,Trains,Modern day,Supplemental / 12V,1,,0.0,,
722,12V Electric Train with 2 Wagons,1970,Trains,Modern day,12V,151,,0.0,,
723,Diesel Locomotive,1970,Trains,Modern day,12V,95,,0.0,,
742,12v Transformer,1970,Trains,Modern day,Supplemental / 12V,1,,0.0,,
800,Gears. Motor and Bricks,1970,Universal Building Set,Basic,Gears,120,,0.0,,
801,Gear Set,1970,Universal Building Set,Basic,Gears,115,,0.0,,
802,Gear Supplement,1970,Universal Building Set,Basic,Gears,30,,0.0,,
102A,Front-End Loader,1970,LEGOLAND,Vintage,Vehicle,57,,0.0,,
445A,Lighting Device Pack with Improved Plugs (The Building Toy),1970,System,Basic,Supplemental,8,,0.0,,
707A,12V Train Replacement Parts Retailer Pack,1970,Trains,Modern day,Supplemental / 12V,,,0.0,,
WEETABIX1,Weetabix Castle,1970,LEGOLAND,Vintage,Promotional,471,,0.0,,
1,Mini-Wheel Model Maker No. 1 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,86,,0.0,,
2,Mini-Wheel Model Maker No. 2 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,74,,0.0,,
3,Mini-Wheel Model Maker No. 3 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,65,,0.0,,
4,Mini-Wheel Model Maker Set 4 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,,,0.0,,
5,Large house set,1971,Minitalia,Vintage,,307,,0.0,,
5,Mini-Wheel Model Maker Set 5 (Kraft Velveeta),1971,Samsonite,Vintage,Model Maker,233,,0.0,,
6,Promotional Basic Set No. 6 (Kraft Velveeta),1971,Samsonite,Vintage,Basic set,77,,0.0,,
7,Promotional Basic Set No. 7 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,159,,0.0,,
8,Promotional Basic Set No. 8 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,301,,0.0,,
9,Promotional Basic Set No. 9 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,550,,0.0,,
10,Promotional Basic Set No. 10 (Kraft Velveeta),1971,Samsonite,Vintage,Basic Set,101,,0.0,,
21,Truck,1971,Minitalia,Vintage,,33,,0.0,,
22,Car,1971,Minitalia,Vintage,,47,,0.0,,
23,Delivery truck,1971,Minitalia,Vintage,,64,,0.0,,
24,Train,1971,Minitalia,Vintage,,88,,0.0,,
101,Imagination Set 1,1971,Samsonite,Vintage,Basic set,290,,0.0,,
102,Imagination Set 2,1971,Samsonite,Vintage,Basic set,426,,0.0,,
103,Imagination Set 3,1971,Samsonite,Vintage,Basic set,576,,0.0,,
104,Imagination Set 4,1971,Samsonite,Vintage,Basic set,737,,0.0,,
105,Imagination Set 5,1971,Samsonite,Vintage,Basic set,917,,0.0,,
107,4.5V Reversible Power Unit,1971,Samsonite,Vintage,Model Maker,16,,0.0,,
110,Vehicle Accessory Pack,1971,Samsonite,Vintage,Supplemental,61,,0.0,,
111,Building Accessory Pack,1971,Samsonite,Vintage,Supplemental,111,,0.0,,
112,Lego Giant Base Plate,1971,Samsonite,Vintage,Supplemental,2,,0.0,,
128,Mobile Crane (Train Base),1971,Trains,Modern day,4.5V,23,,0.0,,
128,Mobile Crane (Plate Base),1971,Trains,Modern day,4.5V,38,,0.0,,
166,Vehicle Extra Parts Kit,1971,Samsonite,Vintage,Supplemental,61,,0.0,,
167,House and Garden Extra Parts Kit,1971,Samsonite,Vintage,Supplemental,111,,0.0,,
248,Factory with Conveyor Belt,1971,Samsonite,Vintage,Model Maker,248,,0.0,,
260,Dolls Living Room,1971,Homemaker,Vintage,,173,,0.0,,
261,Dolls Kitchen,1971,Homemaker,Vintage,,156,,0.0,,
348,Garage with Automatic Doors,1971,LEGOLAND,Vintage,Building,38,,0.0,,
349,Swiss Chalet,1971,LEGOLAND,Vintage,Building,81,,0.0,,
349,Mini-Wheel Construction Set,1971,Samsonite,Vintage,Model Maker,195,,0.0,,
350,Spanish Villa,1971,LEGOLAND,Vintage,Building,126,,0.0,,
351,Gravel Depot,1971,LEGOLAND,Vintage,Building,170,,0.0,,
360,Ambulance Kit,1971,Samsonite,Vintage,Model Maker,23,,0.0,,
361,Tow Truck Kit,1971,Samsonite,Vintage,Model Maker,24,,0.0,,
362,Delivery Van Kit,1971,Samsonite,Vintage,Model Maker,33,,0.0,,
363,Antique Car Kit,1971,Samsonite,Vintage,Model Maker,38,,0.0,,
371,Tipper Truck,1971,LEGOLAND,Vintage,Vehicle,48,,0.0,,
372,Tow Truck,1971,LEGOLAND,Vintage,Vehicle,54,,0.0,,
373,Ambulance,1971,LEGOLAND,Vintage,Vehicle,65,,0.0,,
374,Fire Engine,1971,LEGOLAND,Vintage,Vehicle,74,,0.0,,
375,Refrigerator Truck and Trailer,1971,LEGOLAND,Vintage,Vehicle,128,,0.0,,
376,Low loader with Excavator,1971,LEGOLAND,Vintage,Vehicle,92,,0.0,,
377,Crane w/Float Truck,1971,LEGOLAND,Vintage,Vehicle,91,,0.0,,
380,Village Set,1971,LEGOLAND,Vintage,Building,485,,0.0,,
604,Excavator,1971,LEGOLAND,Vintage,Vehicle,22,,3.7,,
605,Taxi,1971,LEGOLAND,Vintage,Vehicle,19,,0.0,,
608,Kiosk,1971,LEGOLAND,Vintage,Building,33,,0.0,,
630,Diplomat Set,1971,Samsonite,Vintage,Basic set,633,,0.0,,
640,Fire Truck,1971,LEGOLAND,Vintage,Vehicle,45,,0.0,,
642,Double Excavator,1971,LEGOLAND,Vintage,Vehicle,33,,0.0,,
643,Mobile Crane,1971,LEGOLAND,Vintage,Vehicle,35,,0.0,,
644,Double Tanker,1971,LEGOLAND,Vintage,Vehicle,61,,0.0,,
645,Milk Truck with Trailer,1971,LEGOLAND,Vintage,Vehicle,57,,0.0,,
646,Mobile Site Office,1971,LEGOLAND,Vintage,Vehicle,51,,0.0,,
