"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","AGO","9503","Angola","WLD"," World",2024,"Export",6,27.725
"H0","AGO","9503","Angola","WLD"," World",2025,"Export",6,42.366
"H0","ALB","9503","Albania","WLD"," World",2024,"Export",6,131.125
"H0","AND","9503","Andorra","WLD"," World",2024,"Export",6,41.339
"H0","AND","9503","Andorra","WLD"," World",2025,"Export",6,43.606
"H0","ARG","9503","Argentina","WLD"," World",2024,"Export",6,75.156
"H0","ARG","9503","Argentina","WLD"," World",2025,"Export",6,60.504
"H0","ARM","9503","Armenia","WLD"," World",2024,"Export",6,1955.223
"H0","ARM","9503","Armenia","WLD"," World",2025,"Export",6,2662.346
"H0","ATG","9503","Antigua and Barbuda","WLD"," World",2024,"Export",6,0
"H0","AUS","9503","Australia","WLD"," World",2024,"Export",6,33704.542
"H0","AUS","9503","Australia","WLD"," World",2025,"Export",6,40598.985
"H0","AUT","9503","Austria","WLD"," World",2024,"Export",6,177425.209
"H0","AUT","9503","Austria","WLD"," World",2025,"Export",6,208859.606
"H0","AZE","9503","Azerbaijan","WLD"," World",2024,"Export",6,169.704
"H0","AZE","9503","Azerbaijan","WLD"," World",2025,"Export",6,67.832
"H0","BEL","9503","Belgium","WLD"," World",2024,"Export",6,261600.968
"H0","BEL","9503","Belgium","WLD"," World",2025,"Export",6,207643.827
"H0","BEN","9503","Benin","WLD"," World",2024,"Export",6,0.505
"H0","BFA","9503","Burkina Faso","WLD"," World",2024,"Export",6,11.43
"H0","BGR","9503","Bulgaria","WLD"," World",2024,"Export",6,61167.204
"H0","BGR","9503","Bulgaria","WLD"," World",2025,"Export",6,83018.476
"H0","BHR","9503","Bahrain","WLD"," World",2024,"Export",6,4180.958
"H0","BHS","9503","Bahamas, The","WLD"," World",2024,"Export",6,0
"H0","BIH","9503","Bosnia and Herzegovina","WLD"," World",2024,"Export",6,42716.506
"H0","BIH","9503","Bosnia and Herzegovina","WLD"," World",2025,"Export",6,56809.443
"H0","BLZ","9503","Belize","WLD"," World",2024,"Export",6,0
"H0","BLZ","9503","Belize","WLD"," World",2025,"Export",6,0
"H0","BMU","9503","Bermuda","WLD"," World",2024,"Export",6,26.785
"H0","BMU","9503","Bermuda","WLD"," World",2025,"Export",6,16.282
"H0","BOL","9503","Bolivia","WLD"," World",2024,"Export",6,142.915
"H0","BOL","9503","Bolivia","WLD"," World",2025,"Export",6,249.843
"H0","BRA","9503","Brazil","WLD"," World",2024,"Export",6,10970.945
"H0","BRA","9503","Brazil","WLD"," World",2025,"Export",6,10302.505
"H0","BRB","9503","Barbados","WLD"," World",2024,"Export",6,18.24
"H0","BRB","9503","Barbados","WLD"," World",2025,"Export",6,4.22
"H0","BRN","9503","Brunei","WLD"," World",2024,"Export",6,29.912
"H0","BTN","9503","Bhutan","WLD"," World",2025,"Export",6,0.015
"H0","CAN","9503","Canada","WLD"," World",2024,"Export",6,19125.057
"H0","CAN","9503","Canada","WLD"," World",2025,"Export",6,17120.934
"H0","CHE","9503","Switzerland","WLD"," World",2024,"Export",6,23367.207
"H0","CHE","9503","Switzerland","WLD"," World",2025,"Export",6,23393.844
"H0","CHL","9503","Chile","WLD"," World",2024,"Export",6,35054.002
"H0","CHL","9503","Chile","WLD"," World",2025,"Export",6,37178.603
"H0","CHN","9503","China","WLD"," World",2024,"Export",6,39863997.385
"H0","CIV","9503","Cote d'Ivoire","WLD"," World",2024,"Export",6,136.193
"H0","CIV","9503","Cote d'Ivoire","WLD"," World",2025,"Export",6,58.555
"H0","COL","9503","Colombia","WLD"," World",2024,"Export",6,13592.712
"H0","COL","9503","Colombia","WLD"," World",2025,"Export",6,10622.167
"H0","CRI","9503","Costa Rica","WLD"," World",2024,"Export",6,375.229
"H0","CYM","9503","Cayman Islands","WLD"," World",2024,"Export",6,0.191
"H0","CYP","9503","Cyprus","WLD"," World",2024,"Export",6,1544.166
"H0","CYP","9503","Cyprus","WLD"," World",2025,"Export",6,1929.025
